company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max,year,month
Beesafe,100.0,Warszawa,Java,mid,,,10000.0,17000.0,2023,09
Bestmix Software,100.0,Wrocław,C#,mid,10000.0,17000.0,,,2023,09
Brainly,100.0,Remote,Python,senior,20000.0,28000.0,,,2023,09
Brainly,100.0,Remote,JavaScript,mid,13000.0,20000.0,13000.0,20000.0,2023,09
Codelab Sp. z o.o.,100.0,Remote,C/C++,senior,15000.0,22000.0,25200.0,33600.0,2023,09
Codelab Sp. z o.o.,100.0,Remote,C/C++,mid,10000.0,14000.0,18480.0,25200.0,2023,09
DATEV,10000.0,Warszawa,JavaScript,senior,18147.0,32261.0,,,2023,09
Emerge Soft,100.0,Remote,Java,mid,,,18000.0,26000.0,2023,09
Emerge Soft,100.0,Remote,JavaScript,senior,,,22500.0,26500.0,2023,09
EMPIK S. A.,100.0,Remote,Java,mid,14000.0,18000.0,14000.0,18000.0,2023,09
EMPIK S. A.,100.0,Warszawa,Python,junior,6000.0,9000.0,,,2023,09
From Poland With Dev,100.0,Remote,Python,senior,16000.0,25500.0,20000.0,31500.0,2023,09
From Poland With Dev,100.0,Remote,JavaScript,senior,19000.0,24000.0,22500.0,27500.0,2023,09
Grape Up,100.0,Remote,Python,senior,16800.0,23480.0,19800.0,27700.0,2023,09
Idego Group Sp. z o.o.,10.0,Remote,Python,senior,,,25000.0,30000.0,2023,09
Idego Group Sp. z o.o.,10.0,Remote,Python,senior,,,20000.0,30000.0,2023,09
LeoVegas,1000.0,Warszawa,Java,mid,17000.0,21500.0,20000.0,26000.0,2023,09
Margo Consulting Polska Sp. z o. o.,100.0,Warszawa,C#,mid,,,16000.0,24000.0,2023,09
Matrix Eastern Europe,10000.0,Remote,C/C++,senior,,,30030.0,36960.0,2023,09
Nussknacker powered by TouK,10.0,Warszawa,Scala,mid,,,11424.0,17136.0,2023,09
Remitly Poland sp. z o.o.,1000.0,Remote,Golang,senior,26000.0,30000.0,,,2023,09
Sofomo,10.0,Remote,Java,junior,6000.0,10000.0,7000.0,12000.0,2023,09
Survicate,10.0,Remote,PHP,mid,,,14000.0,26000.0,2023,09
Survicate,10.0,Remote,Mobile,mid,,,15000.0,19000.0,2023,09
YND,10.0,Remote,Java,senior,,,25000.0,30000.0,2023,09
10Clouds,100.0,Remote,JavaScript,senior,15000.0,25000.0,17000.0,28000.0,2023,09
Algomine,10.0,Remote,Python,senior,11000.0,18000.0,13440.0,25200.0,2023,09
Appliscale,10.0,Remote,JavaScript,mid,10000.0,17500.0,12000.0,19000.0,2023,09
Bravura Solutions Polska,1000.0,Remote,C#,senior,,,21840.0,26880.0,2023,09
